accuracy,loss,val_accuracy,val_loss,learning_rate
0.6098484992980957,0.6685905456542969,0.7934131622314453,0.5011814832687378,9.999999747378752e-05
0.625,0.5575693249702454,0.7934131622314453,0.49907606840133667,9.999999747378752e-05
0.75,0.4944469928741455,0.841317355632782,0.3862113356590271,9.999999747378752e-05
0.6875,0.5956366062164307,0.8532934188842773,0.38250306248664856,9.999999747378752e-05
0.8083333373069763,0.4312446713447571,0.8502994179725647,0.35398343205451965,9.999999747378752e-05
0.875,0.2784951627254486,0.847305417060852,0.355180025100708,9.999999747378752e-05
0.8416666388511658,0.37419670820236206,0.8502994179725647,0.34266436100006104,9.999999747378752e-05
0.6875,0.5191195011138916,0.8353293538093567,0.3447900116443634,9.999999747378752e-05
0.8500000238418579,0.34983769059181213,0.8443113565444946,0.3364316523075104,9.999999747378752e-05
0.9375,0.18749284744262695,0.8443113565444946,0.33792728185653687,9.999999747378752e-05
0.8636363744735718,0.33269432187080383,0.9071856141090393,0.27054452896118164,9.999999747378752e-05
0.8125,0.44632408022880554,0.910179615020752,0.26758214831352234,9.999999747378752e-05
0.8803030252456665,0.2829945981502533,0.9221556782722473,0.2462872415781021,9.999999747378752e-05
0.9375,0.19422128796577454,0.9221556782722473,0.24629639089107513,9.999999747378752e-05
0.8840909004211426,0.281840443611145,0.8892215490341187,0.2732557952404022,9.999999747378752e-05
1.0,0.11799442768096924,0.8892215490341187,0.27351808547973633,9.999999747378752e-05
0.8999999761581421,0.2555093765258789,0.8952096104621887,0.25518885254859924,4.999999873689376e-05
0.875,0.2162562906742096,0.8952096104621887,0.25480327010154724,4.999999873689376e-05
